runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.515,0.517,0.518,0.514
baseline-te-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.483,0.487,0.481,0.506
1p46G-gemma-commoncrawl-te-29BT,8,1000,2.097152,0.519,0.517,0.518,0.515
1p46G-gemma-commoncrawl-te-29BT,8,10000,20.97152,0.523,0.513,0.515,0.502
1p46G-gemma-commoncrawl-te-29BT,8,10500,22.020096,0.526,0.522,0.52,0.489
1p46G-gemma-commoncrawl-te-29BT,8,11000,23.068672,0.524,0.512,0.515,0.491
1p46G-gemma-commoncrawl-te-29BT,8,11500,24.117248,0.518,0.517,0.518,0.495
1p46G-gemma-commoncrawl-te-29BT,8,12000,25.165824,0.518,0.515,0.515,0.51
1p46G-gemma-commoncrawl-te-29BT,8,12500,26.2144,0.517,0.515,0.517,0.498
1p46G-gemma-commoncrawl-te-29BT,8,13000,27.262976,0.515,0.519,0.518,0.512
1p46G-gemma-commoncrawl-te-29BT,8,13500,28.311552,0.52,0.52,0.517,0.509
1p46G-gemma-commoncrawl-te-29BT,8,14000,29.360128,0.508,0.52,0.515,0.51
1p46G-gemma-commoncrawl-te-29BT,8,1500,3.145728,0.516,0.516,0.516,0.504
1p46G-gemma-commoncrawl-te-29BT,8,2000,4.194304,0.506,0.514,0.516,0.525
1p46G-gemma-commoncrawl-te-29BT,8,2500,5.24288,0.518,0.517,0.516,0.498
1p46G-gemma-commoncrawl-te-29BT,8,3000,6.291456,0.518,0.519,0.518,0.526
1p46G-gemma-commoncrawl-te-29BT,8,3500,7.340032,0.516,0.512,0.52,0.516
1p46G-gemma-commoncrawl-te-29BT,8,4000,8.388608,0.515,0.511,0.518,0.48
1p46G-gemma-commoncrawl-te-29BT,8,4500,9.437184,0.501,0.512,0.522,0.494
1p46G-gemma-commoncrawl-te-29BT,8,500,1.048576,0.524,0.518,0.517,0.505
1p46G-gemma-commoncrawl-te-29BT,8,5000,10.48576,0.507,0.513,0.516,0.499
1p46G-gemma-commoncrawl-te-29BT,8,5500,11.534336,0.519,0.511,0.517,0.509
1p46G-gemma-commoncrawl-te-29BT,8,6000,12.582912,0.498,0.505,0.518,0.492
1p46G-gemma-commoncrawl-te-29BT,8,6500,13.631488,0.526,0.521,0.519,0.498
1p46G-gemma-commoncrawl-te-29BT,8,7000,14.680064,0.521,0.52,0.52,0.489
1p46G-gemma-commoncrawl-te-29BT,8,7500,15.72864,0.516,0.515,0.517,0.508
1p46G-gemma-commoncrawl-te-29BT,8,8000,16.777216,0.518,0.521,0.52,0.486
1p46G-gemma-commoncrawl-te-29BT,8,8500,17.825792,0.51,0.513,0.513,0.486
1p46G-gemma-commoncrawl-te-29BT,8,9000,18.874368,0.513,0.516,0.516,0.501
1p46G-gemma-commoncrawl-te-29BT,8,9500,19.922944,0.512,0.514,0.517,0.49
1p46G-gemma-commoncrawl-te-29BT,6,0,0.0,0.483,0.481,0.513,0.51
1p46G-gemma-commoncrawl-te-29BT,6,1000,2.097152,0.502,0.51,0.515,0.518
1p46G-gemma-commoncrawl-te-29BT,6,10000,20.97152,0.516,0.516,0.519,0.518
1p46G-gemma-commoncrawl-te-29BT,6,10500,22.020096,0.515,0.518,0.52,0.52
1p46G-gemma-commoncrawl-te-29BT,6,11000,23.068672,0.524,0.518,0.521,0.512
1p46G-gemma-commoncrawl-te-29BT,6,11500,24.117248,0.52,0.513,0.518,0.521
1p46G-gemma-commoncrawl-te-29BT,6,12000,25.165824,0.514,0.517,0.518,0.524
1p46G-gemma-commoncrawl-te-29BT,6,12500,26.2144,0.517,0.518,0.519,0.506
1p46G-gemma-commoncrawl-te-29BT,6,13000,27.262976,0.519,0.52,0.519,0.528
1p46G-gemma-commoncrawl-te-29BT,6,13500,28.311552,0.516,0.516,0.518,0.528
1p46G-gemma-commoncrawl-te-29BT,6,14000,29.360128,0.518,0.518,0.518,0.505
1p46G-gemma-commoncrawl-te-29BT,6,1500,3.145728,0.513,0.518,0.512,0.515
1p46G-gemma-commoncrawl-te-29BT,6,2000,4.194304,0.503,0.517,0.52,0.534
1p46G-gemma-commoncrawl-te-29BT,6,2500,5.24288,0.515,0.517,0.518,0.534
1p46G-gemma-commoncrawl-te-29BT,6,3000,6.291456,0.522,0.515,0.517,0.532
1p46G-gemma-commoncrawl-te-29BT,6,3500,7.340032,0.522,0.515,0.518,0.557
1p46G-gemma-commoncrawl-te-29BT,6,4000,8.388608,0.521,0.52,0.519,0.495
1p46G-gemma-commoncrawl-te-29BT,6,4500,9.437184,0.515,0.513,0.518,0.514
1p46G-gemma-commoncrawl-te-29BT,6,500,1.048576,0.512,0.516,0.517,0.51
1p46G-gemma-commoncrawl-te-29BT,6,5000,10.48576,0.51,0.513,0.515,0.524
1p46G-gemma-commoncrawl-te-29BT,6,5500,11.534336,0.511,0.515,0.515,0.522
1p46G-gemma-commoncrawl-te-29BT,6,6000,12.582912,0.512,0.516,0.515,0.525
1p46G-gemma-commoncrawl-te-29BT,6,6500,13.631488,0.509,0.514,0.517,0.528
1p46G-gemma-commoncrawl-te-29BT,6,7000,14.680064,0.517,0.52,0.521,0.533
1p46G-gemma-commoncrawl-te-29BT,6,7500,15.72864,0.521,0.519,0.519,0.511
1p46G-gemma-commoncrawl-te-29BT,6,8000,16.777216,0.535,0.515,0.52,0.544
1p46G-gemma-commoncrawl-te-29BT,6,8500,17.825792,0.52,0.52,0.52,0.517
1p46G-gemma-commoncrawl-te-29BT,6,9000,18.874368,0.515,0.521,0.521,0.518
1p46G-gemma-commoncrawl-te-29BT,6,9500,19.922944,0.518,0.516,0.519,0.521
