runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.52,0.52,0.52,0.497
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.51,0.51,0.51,0.542
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.517,0.517,0.517,0.531
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.519,0.519,0.519,0.514
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.504,0.504,0.504,0.522
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.505,0.505,0.505,0.525
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.508,0.508,0.508,0.52
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.509,0.509,0.509,0.539
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.508,0.508,0.508,0.518
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.514,0.514,0.514,0.525
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.512,0.512,0.512,0.495
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.513,0.513,0.513,0.49
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.514,0.514,0.514,0.526
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.514,0.514,0.514,0.51
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.514,0.514,0.514,0.503
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.511,0.511,0.511,0.498
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.534,0.534,0.534,0.508
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.503,0.503,0.503,0.47600000000000003
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.506,0.506,0.506,0.519
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.53,0.53,0.53,0.513
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.52,0.52,0.52,0.517
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.546,0.546,0.546,0.486
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.512,0.512,0.512,0.519
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.505,0.505,0.505,0.531
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.514,0.514,0.514,0.548
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.514,0.514,0.514,0.519
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.536,0.536,0.536,0.522
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.522,0.522,0.522,0.526
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.507,0.507,0.507,0.489
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.512,0.512,0.512,0.498
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.521,0.521,0.521,0.541
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.523,0.523,0.523,0.526
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.519,0.519,0.519,0.528
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.528,0.528,0.528,0.549
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.53,0.53,0.53,0.531
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.533,0.533,0.533,0.551
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.532,0.532,0.532,0.535
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.524,0.524,0.524,0.542
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.521,0.521,0.521,0.531
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.511,0.511,0.511,0.518
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.523,0.523,0.523,0.527
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.546,0.546,0.546,0.534
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.529,0.529,0.529,0.509
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.551,0.551,0.551,0.52
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.519,0.519,0.519,0.527
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.519,0.519,0.519,0.501
1p46G-gemma-commoncrawl-zh-29BT,5,500,1.048576,0.507,0.507,0.507,0.506
1p46G-gemma-commoncrawl-zh-29BT,5,5000,10.48576,0.535,0.535,0.535,0.545
1p46G-gemma-commoncrawl-zh-29BT,5,5500,11.534336,0.529,0.529,0.529,0.517
1p46G-gemma-commoncrawl-zh-29BT,5,6000,12.582912,0.522,0.522,0.522,0.523
1p46G-gemma-commoncrawl-zh-29BT,5,6500,13.631488,0.521,0.521,0.521,0.511
1p46G-gemma-commoncrawl-zh-29BT,5,7000,14.680064,0.54,0.54,0.54,0.532
1p46G-gemma-commoncrawl-zh-29BT,5,7500,15.72864,0.526,0.526,0.526,0.502
1p46G-gemma-commoncrawl-zh-29BT,5,8000,16.777216,0.521,0.521,0.521,0.53
1p46G-gemma-commoncrawl-zh-29BT,5,8500,17.825792,0.528,0.528,0.528,0.522
1p46G-gemma-commoncrawl-zh-29BT,5,9000,18.874368,0.52,0.52,0.52,0.551
1p46G-gemma-commoncrawl-zh-29BT,5,9500,19.922944,0.519,0.519,0.519,0.535
1p46G-gemma-commoncrawl-zh-29BT,3,0,0.0,0.509,0.509,0.509,0.483
1p46G-gemma-commoncrawl-zh-29BT,3,1000,2.097152,0.54,0.54,0.54,0.5
