runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-lynx-ar-29BT,6,1500,3.145728,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,2000,4.194304,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,2500,5.24288,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,3000,6.291456,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,3500,7.340032,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,4000,8.388608,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,4500,9.437184,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,500,1.048576,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,5000,10.48576,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,5500,11.534336,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,6000,12.582912,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,6500,13.631488,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,7000,14.680064,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,7500,15.72864,0.518,0.482,0.482,0.604
1p46G-gemma-lynx-ar-29BT,6,8000,16.777216,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,8500,17.825792,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,9000,18.874368,0.0,0.0,0.0,0.0
1p46G-gemma-lynx-ar-29BT,6,9500,19.922944,0.0,0.0,0.0,0.0
